date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:50:13	448/448	---M--	200	added ('OK')	text/plain	etag:W/%221c0-LEvfIZx80gSA6qEjkhDT6fK6I20%22	https://fenwad97.wixsite.com/robots.txt		(from )
16:50:17	898574/898574	---MCZ	200	added ('OK')	text/html	etag:W/%2297ee647ed293aaccd082421e9cf30b74%22	https://fenwad97.wixsite.com/nugwa-and-seun	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/fenwad97.wixsite.com/nugwa-and-seun.html	(from )
16:50:20	559/559	---M-Z	200	added ('OK')	application/javascript	etag:W/%229d1a493b511891ff2beb1359384eb679%22	https://static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:22	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:24	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:26	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2011%20Apr%202024%2015:50:28%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:28	26204/26204	---M-Z	200	added ('OK')	application/javascript	etag:W/%22d7568363686cfc75db947195a3c20f61%22	https://static.parastorage.com/services/events-viewer/1.2720.0/client-viewer/7444.chunk.min.js	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.parastorage.com/services/events-viewer/1.2720.0/client-viewer/7444.chunk.min.js	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:29	15193/15193	---M-Z	200	added ('OK')	application/javascript	etag:W/%2234802126af1e819eb5fc6bee971eb71a%22	https://static.parastorage.com/services/events-viewer/1.2720.0/client-viewer/1543.chunk.min.js	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.parastorage.com/services/events-viewer/1.2720.0/client-viewer/1543.chunk.min.js	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:30	11766/11766	---M-Z	200	added ('OK')	application/javascript	etag:W/%227853fe6a02e44745270e5f5e2b9f541a%22	https://static.parastorage.com/services/events-viewer/1.2720.0/client-viewer/7390.chunk.min.js	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.parastorage.com/services/events-viewer/1.2720.0/client-viewer/7390.chunk.min.js	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:31	12547/12547	---M-Z	200	added ('OK')	application/javascript	etag:W/%221f2799ccf365ee0d217cdb11abf0e2d9%22	https://static.parastorage.com/services/events-viewer/1.2720.0/client-viewer/SingleEvent.chunk.min.js	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.parastorage.com/services/events-viewer/1.2720.0/client-viewer/SingleEvent.chunk.min.js	(from https://fenwad97.wixsite.com/nugwa-and-seun)
